Name,Category,Description,Latitude,Longitude
Høre stave church,Nature & sights,"12th-century stave church (timber dendro-dated 1179, matching a runic inscription about the Battle of Kalvskinnet) on the hillside above Ryfoss, passed on the steep descent from Slettefjell. One of Valdres' cluster of surviving stave churches, rich in medieval dragon and lion carvings; a two-minute culture stop between the day's two big climbs. [Detour: on route (just off the Slettefjell descent) | Near: Vaset]",61.1532,8.8049
Syndinstøga,Nature & sights,"Mountain lodge and cafe on the Syndin lakes in the old stølsgrend above Ryfoss, a Mjølkevegen institution that began in 1963 by serving rømmegrøt and waffles in the farmhouse living room; today it has a shop, cafe and 22 beds, with rømmegrøt with cured meat still the signature dish. Ideally placed at the top of the steep Ryfoss-Syndin climb, ~20 km before Vaset. [Detour: on route (Syndin lakes) | Near: Vaset]",61.0899,8.7388
Lisjordetstølen (open summer farm),Nature & sights,"Working mountain dairy on Stølsvidda, the area with the most active summer farms in Northern Europe, with 25 milking cows plus calves, goats, rabbits, chickens and a llama; open daily 12:00-18:00 throughout July with coffee and stølskost (simple farm food), and evening milking to watch 18:00-19:00 on selected days (advance sign-up, fills fast). On Panoramavegen at Rensenn between Vaset and Hemsedal: peak on-theme stop for a 'milk road' trip. [Detour: +15 km return from Vaset on Panoramavegen | Near: Vaset]",60.9565,8.8874
Stubbesetstølen (open summer farm),Nature & sights,"Old støl next to Vasetstølen on Panoramavegen at Vaset, open several days a week in summer: greet the animals and buy farm-made goat cheese, butter, lefse and cakes baked from old recipes in the farm bakery. The zero-detour option for stocking up on støl produce at the overnight stop. [Detour: on route at Vaset | Near: Vaset]",60.9888,8.9783
Langestølen Kolonial og Kafé,Nature & sights,"Summer-season farm shop and cafe on Tisleivegen by Tisleifjorden in Tisleidalen, a popular stop for Mjølkevegen cyclists serving rømmegrøt and fresh waffles the traditional way; also sells homemade kuruv (Valdres cured sausage), pultost, butter and rømme, plus fishing permits and gear. Open four months over summer (plus winter holidays and Easter). [Detour: +13 km south of Vaset, or fold into the Vaset-Gol leg (it lies on the Mjølkevegen Vaset-Golsfjellet stage) | Near: Vaset]",60.8766,8.9417
Lomen Stave Church,Nature & sights,"Stave church from c. 1192 above the Slidre valley, with three lavishly carved portals, chancel arches and column capitals; open daily in summer with guides (2025 season: mid-June to mid-August, 10:00-18:00, adults NOK 130), exterior viewable year-round. The nearer-to-route Hegge stave church sits on the road up to Beitostolen on your previous leg, so Lomen is the Valdres stave church to target from Vaset. [Detour: ~22 km each way by road from Vaset (descend to Ron on Slidrefjorden, then E16 north-west); half-day round trip, easiest folded into the Beitostolen-Vaset day | Near: Vaset]",61.13485,8.92395
Stolsvidda summer farm plateau,Nature & sights,"The Vaset-Golsfjellet stage crosses one of Norway's largest active summer-farming (stol) areas, a network of close to 200 stols with cows and sheep grazing free: summer-farm stops around Langestolen (cafe and small store), Jaslangen and Trollhovd, and long views back to Jotunheimen. This is the landscape that gives Mjolkevegen (the Milk Road) its name. [Detour: On route (the Vaset-Gol stage runs straight across it) | Near: Vaset]",60.94,8.9
Tisleifjorden,Nature & sights,"Large regulated mountain lake (13.4 km2, 821 m) between Stolsvidda and Golsfjellet, the best swim-and-picnic stop of the Vaset-Gol day. The Vasskanten service house by Oset Fjellhotell at the lake's south-east end has changing facilities, charging and snacks, with SUP, canoe and motorboat hire on the lake and a lakeside sauna at the nearby Vasskanten cafe. The wider Golsfjellet plateau holds 20+ fishable lakes and rivers (season 1 Jun-10 Sep). [Detour: On route; the Mjolkevegen meets the lake at the Oset/Vasskanten end | Near: Gol]",60.8355,8.993
Gol Stave Church replica (Storoyne),Nature & sights,"Faithful 1994 copy of Gol's medieval stave church (the original, dated c. 1157-1216, was rescued in the 1880s and now stands at the Norwegian Folk Museum in Oslo), built by local craftsmen over roughly ten years of work. It stands at Storoyne riverside park in Gol centre with a stave-church architecture exhibition added in 2023; open daily 12:00-18:00 from 20 June to 20 August, grounds accessible anytime, free parking at Hallingparken. [Detour: On route, in Gol centre | Near: Gol]",60.69793,8.94772
Torpo Stave Church,Nature & sights,"Built c. 1192, the oldest building in Hallingdal and the valley's only surviving original stave church, famous for its painted 13th-century ceiling canopy depicting the legend of St Margaret. The nave was saved by the Society for the Preservation of Norwegian Ancient Monuments (Fortidsminneforeningen) when the chancel was demolished in 1880; open daily 10:00-18:00 from 1 June to 31 August 2026, guided tours bookable through Fortidsminneforeningen. [Detour: On route: Torpo village sits on the Gol-Al valley road ~15 km west of Gol, church 200 m off the road | Near: Gol]",60.66405,8.70838
Al Bygdamuseum (Leksvol),Nature & sights,"Open-air museum of 30 historic buildings around the c. 1600 Leksvol farmhouse just above Al centre, covering Hallingdal farm life from valley farmhouse to mountain stol and cotter's plot. Open 1 July to 15 August 2026 (guided openings Mon/Tue/Thu 11:00-16:00 in peak weeks), so it falls inside your trip window. [Detour: ~1 km gentle climb west of Al centre, midway on the Gol-Geilo valley ride | Near: Gol]",60.62987,8.54632
Strandafjorden bathing place,Nature & sights,"The Hallingdal valley ride's best swimming stop: sandy shore, diving board and grassy picnic areas on Strandafjorden, 2 km west of Al beside Hallingdal Feriepark (Topcamp), signposted from Rv7 at Vangebrua. Note the lake is fed by the hydropower-regulated Hallingdalselva, so water levels can rise without warning. [Detour: On route, 2 km west of Al, a few hundred metres off Rv7 | Near: Geilo]",60.62036,8.53336
Hol Old Church,Nature & sights,"Hol's oldest church, 13th-century in origin: the apse survives from the original stave church, with Renaissance pulpit and font (1697) and a 1703 altarpiece; the parish church until the new Hol church at Hagafoss took over in 1924, still used for summer services. A quiet, genuinely old counterpoint to the busier stave churches. [Detour: ~3.5 km each way off Rv7 at Hagafoss on the Al-Geilo leg (about 7 km round trip) | Near: Geilo]",60.61507,8.30019
Hallingskarvet National Park,Nature & sights,"450 km2 national park (established 2006) around the 35 km Hallingskarvet massif, topped by Folarskardnuten at 1,933 m, the highest point in Buskerud. The wall of the Skarvet dominates the skyline for your whole Geilo-Haugastol ride; main summer entry is via Prestholtseter, with other access from Haugastol (Rv7) and Storestolen (road 50). [Detour: Visible from the route throughout; nearest entry point Prestholtseter, ~25 min from Geilo by summer toll road | Near: Geilo]",60.6,7.87
Prestholtskardet sherpa steps hike (from Prestholtseter),Nature & sights,"Signature Hallingskarvet hike: about 2,000 stone steps laid by sherpas in 2013 climb 3 km from Prestholtseter (1,242 m) to the Prestholtskardet gap at ~1,600 m, with views over Hallingdal and Hardangervidda (the Hardangerjokulen glacier on clear days); a loop variant (Prestholtrunden) returns behind the skard. Prestholtseter itself is a 1904 summer-farm cafe serving traditional food and home baking, open daily roughly early July to mid-August (then autumn weekends); the toll road normally opens around 1 July, so it should be open for a mid-July visit. [Detour: ~12 km / 20-25 min from Geilo up a summer-only toll road, cash or Vipps (a stiff but ridable gravel climb); hike 2-3 h, allow a half day | Near: Geilo]",60.54925,8.06494
Ustedalsfjorden Rundt with Fekjo cultural heritage park,Nature & sights,"Easy 10 km loop around Geilo's lake, about 1 hour by bike or 2-3 on foot, with picnic spots and swimming along the way. On the south shore at Fekjo the trail passes a cluster of roughly 20 Viking-age burial mounds (excavated finds dated to the 900s, most of them women's graves) plus traces of iron-working and charcoal pits. [Detour: Starts and ends in Geilo centre; ideal rest-day or evening loop | Near: Geilo]",60.526,8.157
Geilojordet historic farmstead,Nature & sights,"Free open-air farmstead in central Geilo with nine buildings from the 1700s-1900s gathered from farms in Hol and Al, plus a playground, farm animals and free storytelling theatre in summer. Summer cafe with traditional food (sour-cream porridge, pancakes) runs June to August, 11:00-16:00. [Detour: None; in Geilo centre by the church (Skurdalsvegen 2) | Near: Geilo]",60.535,8.212
Kikut - Hakkesetstolen and Bjodnahovda viewpoint,Nature & sights,"From the Kikut cabin area south-east of Geilo, an easy family walk (partly wood-chipped and stroller-friendly) leads to Hakkesetstolen fjellstugu (summer food service) and on to the Bjodnahovda viewpoint, with views over Geilo, Ustedalsfjorden and across to Hallingskarvet. A low-effort way to get above the treeline if you skip the bigger Prestholt hike; also reachable from the Vestlia chairlift. [Detour: ~6 km by road from Geilo centre to the Kikut trailhead (Skurdalsvegen toward road 40), then a 2-3 km walk | Near: Geilo]",60.5019,8.21649
Haugastol - Rallarvegen kilometre zero,Nature & sights,"Official start of the 80 km Rallarvegen at ~990 m: the navvies' construction road built for the Bergen Railway around the turn of the century (the road reached Haugastol by 1902), opened as a cycle route in 1974 and now Norway's most popular bike ride. Haugastol Turistsenter at the trailhead handles bike hire, service and luggage logistics before the high-mountain leg to Finse. [Detour: On route; this is where your middle section hands over to the Rallarvegen | Near: Haugastol]",60.51202,7.86314
Hardangervidda National Park (northern edge),Nature & sights,"Mainland Norway's largest national park (3,422 sq km) on northern Europe's biggest mountain plateau, home to Europe's largest wild reindeer herd. The Rallarvegen between Haugastol and Finse runs along the plateau's northern rim (the formal park boundary lies a few km south of the trail): treeless tundra, lakes, and snow patches even in July. No fences or gates, the landscape IS the attraction. Watch for reindeer south of the trail around the Krækkja hut area. [Detour: 0 km, the Haugastol-Finse stage rides the plateau's northern rim just outside the park boundary | Near: Haugastol]",60.5,7.72
Finse and Finse 1222 (Star Wars Hoth location),Nature & sights,"Highest station on the Bergen Line at 1,222 m, road-free, reachable only by rail or Rallarvegen. The Hoth claim is verified: Empire Strikes Back ice-planet scenes were shot on and around Hardangerjokulen from 5 March 1979, with cast and crew based at the Finse 1222 hotel (opened 1909). Hotel serves meals and beds if weather turns; the village hosts recurring Star Wars fan gatherings (Visit Hoth, Hoth Strikes Back). [Detour: 0 km, on route; overnight or lunch stop | Near: Finse]",60.6019,7.5039
Rallarmuseet Finse (Navvy Museum),Nature & sights,"Museum at Finse station on the navvies who built the Bergen Line 1894-1909, with an authentic forge, construction barracks, and exhibitions on the fight against the snow with historic snow-clearing machinery. Open early July to mid-September; entry around NOK 40. The right context stop before riding the road those navvies built. [Detour: 0 km, at Finse station; 30-60 min visit | Near: Finse]",60.6027,7.5057
Hardangerjokulen glacier (Blaisen/Midtdalsbreen views),Nature & sights,"Mainland Norway's sixth-largest glacier (ice cap to 1,863 m) dominating the skyline south of Finse. Best free views are from Finsevatnet lakeshore and the Rallarvegen west of Finse. The Blaisen and Midtdalsbreen tongues are walkable to the ice edge (do not go onto the ice unguided). This is the actual Hoth filming terrain. [Detour: Visible from route; ice-edge walk ~2 hr round trip on foot from Finse | Near: Finse]",60.567,7.468
Guided glacier hike with Joklagutane,Nature & sights,"Bookable in July: Joklagutane runs guided glacier walks on Hardangerjokulen (Blaisen) daily from early July, departing Finse railway station around 11:00. 6-7 hrs, ~16 km, guide/glacier equipment/insurance included, min age 12, good fitness needed. Book ahead at joklagutane.no (+47 993 31 222). Doing this means a full extra day at Finse, plan the itinerary around it. [Detour: Full day (6-7 hrs) from Finse; requires a rest/short-ride day | Near: Finse]",60.6019,7.5039
Fagernut vokterbolig (waffle cottage),Nature & sights,"Stone line-watchman's cottage from 1904 at 1,310 m, about 10 km west of Finse near the Rallarvegen's high point. Summer cafe serves fresh waffles and coffee plus a small exhibition on watchman family life. Verified caveat: opens daily 10:00-16:30 only from roughly mid-July depending on snow. Your ~14-15 July passage is borderline; check facebook.com/Fagernut before banking on waffles, bring cash, and carry food regardless. [Detour: 0 km, on route; 30 min stop if open | Near: Finse]",60.627,7.4
"Kleivabrua stone bridge, Kleivagjelet",Nature & sights,"35 m single-span stone bridge over the Kleivagjelet ravine between Hallingskeid and Myrdal, one of the hardest engineering problems on the line and the showpiece of navvy stonework. Exposed drop beside the trail; walking the bike past the ravine is normal if you dislike heights. [Detour: 0 km, on route | Near: Finse]",60.7,7.17
Myrdalsberget 21 switchbacks (Kleva),Nature & sights,"The famous descent: 21 tight gravel hairpins dropping from Vatnahalsen off the Myrdalsberget cliff to the valley floor at Kardal, beside river and waterfall. Surface is rough, brakes overheat, and most riders walk at least some bends, fully loaded bikepacking rigs should. Top of the switchbacks gives the classic view down Flamsdalen. Flam Zipline (1,381 m, the Nordic region's longest) runs Vatnahalsen to Kardal if one of you wants the fast way down. [Detour: 0 km, on route; allow 30-45 min for the descent | Near: Flam]",60.741,7.116
Kjosfossen waterfall,Nature & sights,"93 m main drop (225 m total) and the signature stop of the Flamsbana: trains pause 5 minutes at a platform reachable only by rail, where in summer a dancer plays the Huldra folklore spirit against the falls. From the bike route you get side views near Vatnahalsen; the full frontal view requires riding the train, an argument for taking the Flamsbana up from Flam as a day trip or for the outbound leg. [Detour: Partial view ~0 km from route; full view needs a Flamsbana ride | Near: Flam]",60.742,7.131
"Flamsbana (Flam Railway), Myrdal station",Nature & sights,"20 km branch line dropping 866 m from Myrdal to the fjord, gradient 1:18, the steepest standard-gauge adhesion railway in Europe and routinely called the world's most beautiful train ride. Takes bikes when space allows. Useful three ways: bail-out if weather or mechanicals hit, the Kjosfossen view, or a luggage-free joyride from Flam after you arrive. [Detour: 0 km, Myrdal is on route; ~1 hr ride if taken | Near: Flam]",60.7342,7.1236
Flamsdalen valley descent,Nature & sights,"The ~16 km run from Kardal to the fjord: a classic U-shaped valley with the Flamselvi river (salmon-green water), waterfalls off both walls, goat farms, and the railway threading above. Gradient eases after the switchbacks, so this is fast, scenic riding. Stock up on nothing, eat in Flam. [Detour: 0 km, this is the route | Near: Flam]",60.793,7.131
Brekkefossen hike,Nature & sights,"Best effort-to-view ratio in Flam: 2 km flat along the river from the village, then 578 stone steps climbing ~200 m to the Raokjen viewpoint beside the waterfall, looking over Flam village and down the Aurlandsfjord. 1.5-2.5 hrs round trip on foot, steep and slippery when wet. Ideal recovery-day leg stretch after the ride. [Detour: 2 km from Flam centre + 1.5-2.5 hr round trip on foot | Near: Flam]",60.846,7.099
Flam Railway Museum,Nature & sights,"Free museum beside Flam station covering the 20-year construction of the Flamsbana, with an original El9 locomotive (in service 1947-1983), navvy-era photos, and an audio guide. Good 30-45 min filler while waiting for a fjord boat or train, and it closes the loop on the railway history you have been riding through since Finse. [Detour: 0 km, in Flam centre; free entry | Near: Flam]",60.8631,7.1136
Stegastein viewpoint,Nature & sights,"30 m steel-and-pine platform jutting from the mountainside 650 m above the Aurlandsfjord, the definitive aerial fjord view of the trip. By bike from Flam: ~10 km to Aurland then ~7-8 km of paved hairpins up the Aurlandsfjellet snow road, roughly 650 m of climbing, a stiff but rideable bonus climb for fit riders with unloaded bikes. Otherwise the electric shuttle/sightseeing bus from Flam runs several times daily in July (1-2 hr round trip, ~30 min at the top). [Detour: ~17 km + 650 m climb one way by bike (half day), or 1-2 hr by shuttle bus from Flam | Near: Flam]",60.9066,7.2114
Otternes farm hamlet (Otternes Bygdetun),Nature & sights,"Clustered hamlet of 27 historic farm buildings from the 1700s, farmed in the traditional way until late in the 20th century, on a shelf above the Aurlandsfjord about 4 km from Flam on the old fjord road. In season open daily ~10:00-17:00 with guided tours four times a day and a small summer cafe, but staffing has been patchy in recent years: building interiors may be closed, and the yard and fjord view alone justify the stop. Access road is steep narrow gravel, fine by bike. [Detour: 4 km from Flam toward Aurland + short steep gravel climb; ~1 hr | Near: Flam]",60.888,7.156
Naeroyfjord UNESCO fjord cruise,Nature & sights,"The finish-line reward: 2 hr cruise from Flam harbour through the Aurlandsfjord into the Naeroyfjord, UNESCO-listed since 2005 and one of the narrowest fjords in Europe, to Gudvangen. Norway's Best sails the silent electric/hybrid sightseeing boats (Future of the Fjords, Vision of the Fjords); book ahead for July, multiple daily departures. Return to Flam by 20-min shuttle bus (~NOK 130) or boat. Cheaper alternative: Lustrabaatane runs a classic-style seasonal ferry on the same Flam-Gudvangen water. [Detour: Departs Flam harbour; half day (2 hr one way + bus or boat back) | Near: Flam]",60.917,6.94
"Besseggen ridge hike (Gjende boat to Memurubu, hike back)",Nature & sights,"The classic loop: boat Gjendesheim-Memurubu (20 min), hike ~14 km back over the ridge, ~1,100 m ascent, 6-8 h, demanding with light scrambling between Gjende (984 m) and Bessvatnet (1,373 m). 2026 boats run 6 Jun-19 Sept (daily departures through 13 Sept), up to 8 departures/day to Memurubu; take the earliest boat. Prices: one-way NOK 260 adult, same-day Gjendesheim-Memurubu return NOK 300, luggage NOK 100/piece. Pre-booking on gjende.no is required before arrival and tickets are non-refundable; July departures sell out, so book the dated 2026 sailing (already on sale, e.g. 17 Jul 2026 listings live) as soon as the itinerary is fixed. Bring a screenshot of the ticket QR. Bikes: no official bike storage published; quay parking is free for 2 h only, long-stay parking is at Reinsvangen 1.7 km away (shuttle starts 30 min before the first boat). Practical move: ask staff at the DNT Gjendesheim lodge to stow loaded bikes (staffed lodge, lock them regardless), or send panniers across on the boat (NOK 100, ask crew where labelled bags are left at the quay). Verified: gjende.no/en/time-tables/, gjende.no/en/some-practical-information/, visitnorway.com Besseggen guide. [Detour: Gjendesheim sits ~2 km off the Mjolkevegen/Valdresflye line (Rv51), so almost no extra riding, but it costs a full day; plan an overnight at Gjendesheim DNT or Bessheim | Near: Beitostolen]",61.494,8.81
Hardangerjokulen / Blaisen guided glacier walk from Finse,Nature & sights,"Current operator is Joklagutane AS (booking site glaciertoursnorway.com). Roped glacier trek to the Blaisen arm of Hardangerjokulen: meets ~11:00 at the Finse station, back ~18:00; 6-7 h, 15-17 km round trip in unmarked high-mountain terrain. Includes guide, all glacier gear (crampons, harness, rope), insurance, small gift; min age 12; good fitness needed. Season 10 July-15 Sept, tours run essentially daily in summer, timed to Bergen Line trains. Price: web listings of NOK 650-690 trace back to 2018-era pages and are almost certainly stale; confirm current 2026 price and book at glaciertoursnorway.com (site intermittently slow/unreachable, confirmed during checking) or +47 993 31 222 / post@joklagutane.no. Timing note: season opens 10 July, riders hit Finse ~15-16 July, so it works, but book ahead. Verified: haugastol.no/en/glacier-tours (season 10 Jul-15 Sept, 11:00 meet, inclusions), geilo.com/en/activities/summer-activities/glacier-tour (15-17 km, min age 12). [Detour: Zero riding detour (Finse is on the Rallarvegen route) but it consumes a full day, 11:00-18:00; build in a second night at Finse 1222 or the DNT hut | Near: Finse]",60.6017,7.5041
Stegastein viewpoint: ride the Bjorgavegen climb or shuttle from Flam,Nature & sights,"Cantilevered platform 650 m above Aurlandsfjord; free, open 24/7, toilets on site. Ride option: from Aurlandsvangen the paved Bjorgavegen (fv243, the Aurlandsfjellet Snow Road) climbs ~9 km and ~630 m to the viewpoint (seven hairpins, busy with tourist cars); the full Aurlandsfjellet climb is 16.5 km / 1,295 m / 7.9% per climbfinder if you want the whole snow road. From Flam add ~9 km each way of flat fjord road to Aurland: budget ~38 km / 650 m+ round trip on unloaded bikes. Bus option: electric minibus tour from beside Flam railway station, 1.5 h round trip with ~25 min on the platform, from NOK 430/adult, runs year-round; book via norwaysbest.com or fjordtours.com. Verified: fjordtours.com (electric minibus, from NOK 430, 1.5 h, ~25 min at platform), climbfinder.com/en/climbs/aurlandsfjellet (16.5 km / 1,295 m / 7.9%, Stegastein at 9 km), coordinate databases (viewpoint at 60.9086, 7.2118). [Detour: Half day from Flam: ~3 h ride round trip from Flam (or 1.5 h by shuttle bus); coordinates given are the climb start in Aurlandsvangen, viewpoint itself at 60.9086, 7.2118 | Near: Flam]",60.9058,7.187
Naeroyfjord cruise Flam-Gudvangen (Norway's Best),Nature & sights,"Premium electric sightseeing vessels (Future/Legacy of the Fjords) sail Flam-Gudvangen through Aurlandsfjord and the UNESCO-listed Naeroyfjord, ~2 h one way, multiple daily departures in July. Pricing is dynamic by date and operator: adult one-way NOK 520-595 typical (visitBergen lists NOK 550, child 4-15 NOK 275; peak-date Norway's Best fares can run higher); boat out + shuttle bus back ~NOK 760 total (bus leg ~30 min); full round trip by boat takes ~4.5-5 h and costs roughly double the single fare. Lustrabaatane also runs the leg Apr-Oct with a family ticket (~NOK 1,300 for 2+2). Book at norwaysbest.com (select date, leg, pax); July midday sailings fill, book a few days ahead. Good end-of-trip option: one-way and bus back is the time-efficient combo. Verified: flamtravelguide.com (one-way 520-595, round trip with bus 760, boat round trip 4.5-5 h), en.visitbergen.com (NOK 550 / child 275), norwaysbest.com. [Detour: Half day from Flam at trip end: ~2.5-3 h with bus return, ~4.5-5 h round trip by boat; no riding required | Near: Flam]",60.8627,7.1133
Guided sea kayak on Aurlandsfjord from Flam (Njord),Nature & sights,"Njord Kayak Centre (seakayaknorway.com), beachside base a short walk from Flam station. Signature 3 h Fjord Paddle: NOK 1,235 adult / NOK 950 child, July departures daily 10:00, 12:00 and 15:00; shorter 2 h Family Fjord Paddle NOK 995 adult / NOK 825 child (08:30, 11:30, 17:00; runs 16 May-15 Sept, children over 5 welcome). All gear and guide included, no experience needed. Note: half-day paddles cover the Aurlandsfjord from Flam; reaching Naeroyfjord proper by kayak means a multi-day tour (e.g. Njord's 3-day Naeroyfjord kayak-camp tour, also on GetYourGuide). Book online at seakayaknorway.com or +47 913 26 628 / info@seakayaknorway.com; July slots fill, book ahead. Pairs well as a recovery-day activity after rolling into Flam. Verified: seakayaknorway.com/fjord-paddle-3-hour-guided-kayak-tour (NOK 1,235, daily 10:00/12:00/15:00 in July, family paddle NOK 995). [Detour: 3 h activity at the Flam finish line, zero riding detour; morning slot leaves the afternoon free for Stegastein or the fjord cruise | Near: Flam]",60.8632,7.1115
"Prestholt sherpa steps and Skarvsenden, Hallingskarvet (Geilo half day)",Nature & sights,"Best half-day at Geilo: the Prestholt round from Prestholtseter mountain cafe (1,242 m) climbs ~2,000 stone steps built by Nepalese sherpas (2013) to the Hallingskarvet plateau rim at Skarvsenden (1,705 m); loop ~6.5 km, ~500 m ascent, 2-3.5 h, returns past an old reindeer trapping site. Trailhead is ~11 km / 25 min drive from Geilo centre: asphalt then gravel toll road (NOK 40, cash or Vipps), normally open from around 1 July, rideable on gravel bikes (~440 m climb from Geilo at ~800 m). Cafe at the trailhead serves traditional food, open daily early July to mid Aug (weekends only after that); no booking needed for the hike. Verified: geilo.com/en/hiking/national-parks/hallingskarvet-national-park, outdooractive.com Prestholtseter (coords 60.5494/8.0681, 1,242 m, cafe daily early Jul-mid Aug, road opens ~1 Jul), visitnorway.com Prestholt listings (Skarvsenden 1,705 m, toll NOK 40 cash/Vipps). [Detour: Half day from Geilo: ~22 km round-trip ride on the toll road plus 2-3.5 h hike; doable the afternoon you arrive or the morning you leave for Haugastol | Near: Geilo]",60.5494,8.0681
